Index,V1,V2,V3,V4
505,302006,240083,88784,139758
506,301785,239796,88852,139816
507,301475,239776,88718,139704
508,301463,240025,88587,139548
509,301510,240029,88587,139430
510,301440,239740,88709,139568
511,301484,239683,88624,139616
512,301982,239995,88813,139682
513,302372,240300,88839,139813
514,302568,240271,88488,139723
515,327428,240145,88546,139636
516,302778,239873,88909,139940
517,302613,240086,88809,139747
518,302349,240122,88641,139561
519,302128,240137,88521,139695
520,302020,239966,88459,139743
521,302083,239910,88419,139747
522,302334,239732,88456,139726
523,302180,239743,88551,163585
524,302407,239989,88454,139717
525,302805,239785,88420,139955
526,303040,239834,88582,139833
527,303074,240410,88558,139795
528,303186,240363,88571,140041
529,302999,240068,88556,139841
530,302759,239993,88629,139879
531,302669,239929,88613,139759
532,302501,240123,88502,139652
533,302200,240292,88249,139756
534,302015,239996,88485,139826
535,302014,239787,88800,139481
536,302288,240089,88781,139737
537,303088,240042,88741,139786
538,302989,239770,88745,139675
539,302989,240078,88724,139855
540,302957,239901,88729,139714
541,303108,239902,88655,139793
542,303014,240202,88400,139966
543,302605,240015,88400,139974
544,302280,239990,88260,139943
545,302289,239927,88486,139901
546,302342,241656,88598,139750
547,302384,240199,88511,147392
548,302604,239995,88532,139841
549,302875,239776,88649,139890
550,303129,239783,88504,139738
551,303370,240122,88552,139807
552,303456,240206,88530,139889
553,303488,240304,88525,139504
554,303231,240325,88609,139562
555,302960,240000,88387,140063
556,302897,239929,88413,139960
557,302743,240183,88388,139813
558,302671,239902,88452,139691
559,302847,239795,88517,139846
560,302684,239894,88619,139749
561,303115,239973,88685,139543
562,303514,240036,88432,139555
563,303939,240247,88475,139716
564,303786,240220,88316,139973
565,303849,239665,88275,139702
566,303923,240283,88398,140206
567,303511,240231,88493,139884
568,303294,240273,88540,139856
569,303347,245696,88583,139615
570,303265,240209,88684,139459
571,303344,240229,88672,139775
572,303229,240015,88244,139489
573,303150,239902,88403,139514
574,303390,240189,88678,139871
575,303714,240006,88370,139856
576,304348,239808,88715,139685
577,304448,239934,88824,139819
578,304360,239998,88676,139835
579,304194,239860,88564,139679
580,303983,239893,88600,139841
581,303711,239941,88481,139663
582,-64352,239986,88630,139581
583,303349,240087,88525,139695
584,303601,239959,88641,139658
585,303775,239922,88697,139690
586,304067,240079,88613,139597
587,304269,240143,88720,139744
588,304288,240331,88566,139862
589,304572,240321,88343,139864
590,304816,240044,88301,139882
591,304672,239948,88480,139747
592,304337,261639,88557,139955
593,303998,240363,88410,139862
594,303720,240277,88495,139595
595,303682,240290,88466,139599
596,303720,240289,88488,1040452
597,303563,240146,88544,139920
598,303713,240204,88599,140008
599,304110,240291,88640,139971
600,304457,240301,88716,139725
601,304441,240221,88677,139774
602,304314,240266,88573,139725
603,304431,240280,88431,139700
604,4162129,240136,88431,139971
605,303967,239759,88524,139948
606,303965,239721,88449,139845
607,303801,239839,88462,139804
608,303662,240034,88240,139741
609,303371,240133,88449,139778
610,303512,240135,88432,139769
611,304201,240243,88575,139730
612,304378,240465,88822,139861
613,304331,240278,88714,139782
614,304572,240199,88617,139737
615,304465,1040442,88658,139861
616,304295,240111,88385,139643
617,304190,240275,88321,139694
618,304002,240228,88535,139703
619,303548,240176,88729,139735
620,303677,239958,88633,261636
621,303532,239791,88622,139849
622,303617,239965,88495,139773
623,303896,240008,88227,139864
624,303996,239837,88390,139763
625,304039,240001,88718,139630
626,1044554,240137,88656,139539
627,304134,239943,88554,139517
628,303956,239965,88796,139408
629,303725,240040,88651,139731
630,303411,240035,88467,140022
631,303032,239790,88399,139838
632,302885,239640,88437,139628
633,302856,239682,88299,139511
634,302821,239858,88497,139639
635,303158,239928,88590,139791
636,303315,239875,88693,139722
637,303289,240031,88601,139926
638,303413,8324009,88634,140088
639,303694,240044,88924,139957
640,303345,240033,88470,139622
641,303248,240006,88421,139658
642,302792,240196,88471,139773
643,302279,240295,88466,139712
644,302366,240166,88440,143328
645,302035,240068,88469,140025
646,301952,239775,88709,140044
647,301959,240020,88707,140168
648,392713,240013,88561,140020
649,302460,239940,88673,139676
650,302408,240049,88802,139655
651,302112,239977,88898,139923
652,301949,240094,88811,139794
653,301584,240062,88733,139630
654,300969,240133,88438,139708
655,300486,240146,88423,139717
656,300580,240085,88508,139709
657,300437,240115,88447,139761
658,300223,239941,88122,139607
659,300303,240047,88078,139578
660,300349,240383,88574,139574
661,300211,240156,88711,139733
662,300201,240232,88886,139922
663,300163,240223,88798,139875
664,300112,240073,88696,139729
665,299896,239985,88557,139692
666,299226,240006,88442,139680
667,298883,240054,88558,139450
668,298698,239972,88559,139775
669,298603,240087,88425,139818
670,303041,240036,88367,139493
671,298190,240056,88238,139407
672,298304,240209,88315,139464
673,298187,240334,88508,139504
674,298190,240242,88613,139640
675,298248,240118,88551,139777
676,298031,240143,88635,139747
677,297744,240191,88608,139797
678,297385,240102,88397,139667
679,297225,240082,88382,139732
680,297059,240205,88518,139847
681,296510,240001,88307,139628
682,296580,239801,88269,139546
683,296582,241648,88367,139574
684,296300,240065,88513,139646
685,296253,240117,88646,139741
686,296227,240270,88601,139734
687,296242,239956,88639,139468
688,296397,239979,88863,139792
689,296059,240133,88683,139885
690,295548,239972,88733,139815
691,295091,240187,88674,139841
692,294896,240103,88421,139711
693,294164,239847,88226,139880
694,293796,239890,88338,139663
695,293932,239873,88708,139503
696,293904,239922,88655,139715
697,293860,240163,88433,139924
698,294040,240137,88493,139885
